rho,ic_spread,concentration,n_features,n_samples,noise,seed,cond,mean_cv,median_cv,max_cv,n_active,coef_err,spurious,missed
0.1,0.1,0.9,9,50,0.01,3,4332.959617247561,3.714790606559788,3.259123441155527,13.68420951863016,16,0.8701553945021675,8,0
0.1,0.1,0.9,9,50,0.01,4,5160.706999275225,3.5283577715490217,1.7797917149746185,16.523961074559907,17,0.9071820581821527,9,0
0.1,0.1,0.9,9,50,0.01,5,1193.2987087561903,4.430066237944489,1.2832430782956978,25.937195490581274,17,0.5764707770259255,9,0
0.01,0.01,0.99,9,50,0.01,0,14530.745268969997,17.806770856813596,1.7289276404512206,172.8153906227355,11,0.886839248336361,7,4
0.01,0.01,0.99,9,50,0.01,1,2967.1678095404827,5.50245449735061,1.9539413853754308,33.708609852898505,16,1.0780385795798357,8,0
0.01,0.01,0.99,9,50,0.01,2,43890.71564722627,3.0318210228917333,1.900668139827872,7.9890199153415065,12,5.108280283661563,5,1
0.01,0.01,0.99,9,50,0.01,3,40377.63510329377,2.419243629426393,1.716132151430336,8.26947079228295,9,1.174668117100922,5,4
0.01,0.01,0.99,9,50,0.01,4,5840.1770610513695,4.088654183395554,1.9000310188369542,26.946951210782924,17,4.180071813620959,9,0
0.01,0.01,0.99,9,50,0.01,5,3070.6823500403134,3.3347578604568606,1.458856129951309,34.91921493171631,17,2.1331021904542857,10,1
0.0,0.0,1.0,9,50,0.01,0,781073059689.8656,1.0297902746610976,1.21269222351335,2.188063191273131,11,0.853121292134657,7,4
0.0,0.0,1.0,9,50,0.01,1,1062290486658.15,1.654940950375469,1.3410684844674785,6.175255219526518,14,0.8552300212159922,8,2
0.0,0.0,1.0,9,50,0.01,2,1093713912091.6431,1.159537587426625,1.4064803624456899,2.105904353961441,10,0.854838116866924,6,4
0.0,0.0,1.0,9,50,0.01,3,849327058031.5023,0.9219833820847133,0.9572215735600478,1.5067138817113506,12,0.8468658659964335,7,3
0.0,0.0,1.0,9,50,0.01,4,3189353374559.989,11.07391422350242,2.181011916456894,158.60075383267642,18,1.1565939111682375,10,0
0.0,0.0,1.0,9,50,0.01,5,844982579073.623,1.3838149064049148,0.9721394260832197,7.457245925208516,16,1.9081964292820228,8,0
1.0,1.0,0.0,9,100,0.001,0,23.36112160998824,0.6801979600395844,0.4588113043172456,3.693465609914038,11,0.20413278896688117,3,0
1.0,1.0,0.0,9,100,0.001,1,31.700426720473068,0.41411557740979155,0.28662313228930025,1.259271472132213,8,0.0004964671769756514,0,0
1.0,1.0,0.0,9,100,0.001,2,60.147783936045144,0.3830605652732828,0.19682212333186755,1.592214045291859,10,0.11823051396966867,2,0
1.0,1.0,0.0,9,100,0.001,3,22.516657318591918,0.3853671611664337,0.37631694649134584,0.6763125016875235,9,0.011288762438060559,1,0
1.0,1.0,0.0,9,100,0.001,4,44.59793769210496,0.27254395061271414,0.27443185756062577,0.46083721873321504,8,0.004437168279305962,0,0
1.0,1.0,0.0,9,100,0.001,5,43.36122000799778,0.6404679732321668,0.5792257476733198,1.1584551779788477,8,0.0007282812626483524,0,0
0.75,0.75,0.25,9,100,0.001,0,28.712196926665392,0.6401684118801075,0.4367170595074442,2.718077646569411,12,0.21966011921981188,4,0
